ip,timestamp,req_count,auth_fail_count,rapid_req_count,large_payload_count,xss_hits,sqli_hits,get_requests,avg_response_time,label
::1,2025-12-31 18:01:20+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 18:01:30+00:00,2,0,0,0,0,2,0,0.5,normal
::1,2025-12-31 18:01:40+00:00,2,0,0,0,0,2,0,0.0,normal
::1,2025-12-31 18:01:50+00:00,2,0,0,0,0,2,0,1.0,normal
::1,2025-12-31 18:02:00+00:00,2,0,0,0,0,2,0,0.0,normal
::1,2025-12-31 18:02:10+00:00,3,0,0,0,0,3,0,1.0,normal
::1,2025-12-31 18:02:20+00:00,2,0,0,0,0,2,0,1.0,normal
::1,2025-12-31 18:02:30+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 18:02:40+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2025-12-31 18:02:50+00:00,2,0,0,0,0,2,0,1.0,normal
::1,2025-12-31 18:03:00+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 18:03:10+00:00,2,0,0,0,0,2,0,0.0,normal
::1,2025-12-31 18:03:20+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2025-12-31 18:03:30+00:00,2,0,0,0,0,2,0,0.5,normal
::1,2025-12-31 18:03:40+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 18:03:50+00:00,2,0,0,0,0,2,0,0.0,normal
::1,2025-12-31 18:04:00+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 18:04:10+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2025-12-31 18:04:20+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 18:04:30+00:00,2,0,0,0,0,2,0,0.5,normal
::1,2025-12-31 18:04:40+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2025-12-31 18:05:50+00:00,2,1,0,0,0,2,0,0.5,sql_injection
::1,2025-12-31 18:06:00+00:00,2,0,0,0,0,2,0,0.5,normal
::1,2025-12-31 18:06:10+00:00,2,0,0,0,0,2,0,1.0,normal
::1,2025-12-31 18:06:20+00:00,2,2,0,1,1,2,0,1.0,xss
::1,2025-12-31 18:06:30+00:00,3,2,0,2,2,3,0,0.0,xss
::1,2025-12-31 18:06:40+00:00,2,2,0,1,1,2,0,0.5,xss
::1,2025-12-31 18:06:50+00:00,2,1,0,1,1,2,0,0.5,xss
::1,2025-12-31 18:07:00+00:00,3,3,0,2,2,3,0,0.3333333333333333,xss
::1,2025-12-31 18:07:10+00:00,1,1,0,1,1,1,0,1.0,xss
::1,2025-12-31 18:07:20+00:00,3,2,0,2,2,3,0,0.6666666666666666,xss
::1,2025-12-31 18:07:30+00:00,3,2,0,2,2,3,0,0.3333333333333333,xss
::1,2025-12-31 18:07:40+00:00,2,1,0,0,0,2,0,0.5,sql_injection
::1,2025-12-31 18:07:50+00:00,2,1,0,0,0,2,0,0.5,sql_injection
::1,2025-12-31 18:08:00+00:00,2,1,0,0,0,2,0,0.5,sql_injection
::1,2025-12-31 18:08:10+00:00,2,2,0,2,2,2,0,0.0,xss
::1,2025-12-31 18:08:20+00:00,3,0,0,0,0,3,0,1.0,brute_force
::1,2025-12-31 18:08:30+00:00,3,3,0,0,0,3,0,0.6666666666666666,sql_injection
::1,2025-12-31 18:08:40+00:00,1,1,0,0,0,1,0,1.0,sql_injection
::1,2026-01-01 05:56:00+00:00,1,0,0,0,0,1,0,10.0,brute_force
::1,2026-01-01 05:56:20+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 05:56:50+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 05:57:10+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 05:57:20+00:00,2,0,0,0,0,2,0,0.0,brute_force
::1,2026-01-01 05:57:50+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 05:58:00+00:00,1,0,0,0,0,1,0,1.0,brute_force
